2025-08-27 15:40:45.628334 ; AssemblyData   ; Debug       ; Loaded OpenTap. [521 us]
2025-08-27 15:40:45.650632 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-08-27 15:40:45.650632 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-08-27 15:40:45.651632 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2025-08-27 15:40:45.655632 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [4.07 ms]
2025-08-27 15:40:45.672631 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [9.33 ms]
2025-08-27 15:40:45.703633 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [5.43 ms]
2025-08-27 15:40:45.706630 ; AssemblyData   ; Debug       ; Loaded OpenTap.Tui. [7.71 ms]
2025-08-27 15:40:45.628334 ; AssemblyData   ; Debug       ; Loaded OpenTap. [521 us]
2025-08-27 15:40:45.650632 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-08-27 15:40:45.650632 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-08-27 15:40:45.651632 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2025-08-27 15:40:45.655632 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [4.07 ms]
2025-08-27 15:40:45.672631 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [9.33 ms]
2025-08-27 15:40:45.703633 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [5.43 ms]
2025-08-27 15:40:45.706630 ; AssemblyData   ; Debug       ; Loaded OpenTap.Tui. [7.71 ms]
2025-08-27 15:40:45.096638 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\tap 2025-08-27 15-40-44.txt'. [2.80 ms]
2025-08-27 15:40:45.238712 ; Session        ; Debug       ; Running '"C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\tap.exe" ' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug'.
2025-08-27 15:40:45.288383 ; AssemblyFinder ; Debug       ; Found 19/43 assembly files. [14.7 ms]
2025-08-27 15:40:45.317378 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-08-27 15:40:45.354044 ; Searcher       ; Warning     ; Multiple assemblies of different versions named tap exists 
2025-08-27 15:40:45.355042 ; Searcher       ; Debug       ; Assembly 1: C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\tap.dll version: 8
2025-08-27 15:40:45.355042 ; Searcher       ; Debug       ; Assembly 2: C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\tap.exe version: 9.28.2
2025-08-27 15:40:45.360047 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-08-27 15:40:45.509374 ; Searcher       ; Debug       ; Ordered 13 assemblies according to references. [171 ms]
2025-08-27 15:40:45.610332 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 186 plugin types. [276 ms]
2025-08-27 15:40:45.612333 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.dll
2025-08-27 15:40:45.612333 ; PluginManager  ; Debug       ; Found version 0.0.0            of KeysightGPT.dll
2025-08-27 15:40:45.612333 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Package.dll
2025-08-27 15:40:45.612333 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Plugins.BasicSteps.dll
2025-08-27 15:40:45.612333 ; PluginManager  ; Debug       ; Found version 1.1.1+507fd903   of OpenTap.Tui.dll
2025-08-27 15:40:45.612333 ; PluginManager  ; Debug       ; Searched 19 Assemblies. [281 ms]
2025-08-27 15:40:45.744969 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\SessionLog 2025-08-27 15-40-44.txt'. [42.3 ms]
2025-08-27 15:40:45.770963 ; tap            ; Information ; OpenTAP Command Line Interface (9.28.2+504225fd)
2025-08-27 15:40:45.770963 ; tap            ; Information ; Usage: "tap.exe <command> [<subcommand(s)>] [<args>]"
2025-08-27 15:40:45.770963 ; tap            ; Information ; Valid commands are:
2025-08-27 15:40:45.773973 ; tap            ; Information ; image              
2025-08-27 15:40:45.773973 ; tap            ; Information ;    install         Install the specified image, overwriting the existing installation.
2025-08-27 15:40:45.773973 ; tap            ; Information ; package            
2025-08-27 15:40:45.773973 ; tap            ; Information ;    create          Create a package based on an XML description file.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    download        Download one or more packages.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    install         Install one or more packages.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    list            List locally installed packages and browse the online package repository.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    show            Show information about a package.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    test            Run tests on one or more packages.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    uninstall       Uninstall one or more packages.
2025-08-27 15:40:45.773973 ; tap            ; Information ;    verify          Verify the integrity of one or all installed packages by checking their fingerprints.
2025-08-27 15:40:45.773973 ; tap            ; Information ; run                Run a test plan.
2025-08-27 15:40:45.773973 ; tap            ; Information ; sdk                
2025-08-27 15:40:45.773973 ; tap            ; Information ;    gitversion      Calculate the semantic version number for a specific git commit.
2025-08-27 15:40:45.773973 ; tap            ; Information ; tui                View, edit and run test plans using TUI.
2025-08-27 15:40:45.773973 ; tap            ; Information ; tui-pm             Open package manager using TUI. (Experimental)
2025-08-27 15:40:45.773973 ; tap            ; Information ; tui-results        Open TUI results viewer. (Experimental)
2025-08-27 15:40:45.773973 ; tap            ; Information ; Run "tap.exe <command> [<subcommand(s)>] -h" to get additional help for a specific command.
2025-08-27 15:40:45.803742 ; AssemblyData   ; Debug       ; Loaded mscorlib. [400 ns]
2025-08-27 15:40:46.006966 ; Installation   ; Debug       ; OpenTAP                        - 9.28.2+504225fd
2025-08-27 15:40:46.006966 ; Installation   ; Debug       ; TUI                            - 1.1.1+507fd903
2025-08-27 15:40:46.006966 ; Installation   ; Debug       ; Keysight Fixed License Manager - 1.6.2+d58f8a89
2025-08-27 15:40:46.006966 ; Installation   ; Debug       ; Keysight IO Libraries Suite    - 18.4.30319-beta.2.5+a2799c9d
2025-08-27 15:40:46.006966 ; Installation   ; Debug       ; PathWave License Manager       - 7.4.1+efeba870
