2025-08-28 22:59:18.350227 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.20112 2025-08-28 22-59-17.txt'. [2.89 ms]
2025-08-28 22:59:18.360793 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT'.
2025-08-28 22:59:18.406758 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [5.14 ms]
2025-08-28 22:59:18.440539 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [26.6 ms]
2025-08-28 22:59:18.471462 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 176 plugin types. [59.4 ms]
2025-08-28 22:59:18.473587 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\OpenTap.dll
2025-08-28 22:59:18.473587 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Package.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\OpenTap.Package.dll
2025-08-28 22:59:18.473587 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2025-08-28 22:59:18.473587 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [61.8 ms]
2025-08-28 22:59:18.481802 ; AssemblyData   ; Debug       ; Loaded OpenTap. [583 us]
2025-08-28 22:59:18.481802 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [248 us]
2025-08-28 22:59:18.484848 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.75 ms]
2025-08-28 22:59:18.554538 ; AssemblyData   ; Debug       ; Loaded mscorlib. [100 ns]
2025-08-28 22:59:18.606209 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-08-28 22:59:18.606209 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-08-28 22:59:18.606747 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2025-08-28 22:59:18.668754 ; Installation   ; Debug       ; OpenTAP                        - 9.28.2+504225fd
2025-08-28 22:59:18.668754 ; Installation   ; Debug       ; TUI                            - 1.1.1+507fd903
2025-08-28 22:59:18.668754 ; Installation   ; Debug       ; Keysight Fixed License Manager - 1.6.2+d58f8a89
2025-08-28 22:59:18.668754 ; Installation   ; Debug       ; Keysight IO Libraries Suite    - 18.4.30319-beta.2.5+a2799c9d
2025-08-28 22:59:18.668754 ; Installation   ; Debug       ; PathWave License Manager       - 7.4.1+efeba870
2025-08-28 22:59:18.689018 ; Resolver       ; Debug       ; Found match for OpenTap.Repository.Client, Version=4.17.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\Dependencies\OpenTap.Repository.Client.4.17.0.0\OpenTap.Repository.Client.dll
2025-08-28 22:59:18.725047 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [314 us]
2025-08-28 22:59:18.725047 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [977 us]
2025-08-28 22:59:18.838200 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.C83F5A61.17.xml [101 ms]
2025-08-28 22:59:18.848402 ; Package Query  ; Debug       ; Read 17 packages from [FilePackageRepository: file:///C:/Users/Rachel/AppData/Local/OpenTap/PackageCache] [113 ms]
2025-08-28 22:59:21.185760 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1752 packages. [2.33 s]
2025-08-28 22:59:22.306125 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight IO Libraries Suite","version":"beta","architecture":"x64","os":"Windows"} -> found 0 packages. [1.09 s]
2025-08-28 22:59:22.316752 ; image          ; Debug       ; Resolved image: TUI:1, OpenTAP:9.28.2+504225fd, Keysight Fixed License Manager:^1.6.2+d58f8a89, Keysight IO Libraries Suite:^18.4.30319-beta.2.5+a2799c9d, PathWave License Manager:^7.4.1+efeba870 [1.12 s]
2025-08-28 22:59:24.321997 ; OpenTAP        ; Information ; Target installation is already up to date.
