2025-12-15 15:36:50.298991 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.24700 2025-12-15 15-35-02.txt'. [2.79 ms]
2025-12-15 15:36:50.351252 ; Session        ; Debug       ; Deleting log file: C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.25816 2025-08-28 22-20-11.txt
2025-12-15 15:36:50.359255 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT'.
2025-12-15 15:36:50.493892 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [9.15 ms]
2025-12-15 15:36:50.625455 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [127 ms]
2025-12-15 15:36:50.730623 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 176 plugin types. [233 ms]
2025-12-15 15:36:50.731663 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\OpenTap.dll
2025-12-15 15:36:50.731663 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Package.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\OpenTap.Package.dll
2025-12-15 15:36:50.731663 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2025-12-15 15:36:50.731663 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [235 ms]
2025-12-15 15:36:50.786223 ; AssemblyData   ; Debug       ; Loaded OpenTap. [813 us]
2025-12-15 15:36:50.797123 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-12-15 15:36:50.797123 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-12-15 15:36:50.797123 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2025-12-15 15:36:50.797123 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [283 us]
2025-12-15 15:36:50.837793 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.68 ms]
2025-12-15 15:36:51.097572 ; AssemblyData   ; Debug       ; Loaded mscorlib. [600 ns]
2025-12-15 15:36:51.285363 ; Installation   ; Debug       ; OpenTAP                        - 9.28.2+504225fd
2025-12-15 15:36:51.285363 ; Installation   ; Debug       ; TUI                            - 1.1.1+507fd903
2025-12-15 15:36:51.285363 ; Installation   ; Debug       ; Keysight Fixed License Manager - 1.6.2+d58f8a89
2025-12-15 15:36:51.285363 ; Installation   ; Debug       ; Keysight IO Libraries Suite    - 18.4.30319-beta.2.5+a2799c9d
2025-12-15 15:36:51.285363 ; Installation   ; Debug       ; PathWave License Manager       - 7.4.1+efeba870
2025-12-15 15:36:51.307364 ; Resolver       ; Debug       ; Found match for OpenTap.Repository.Client, Version=4.17.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\Dependencies\OpenTap.Repository.Client.4.17.0.0\OpenTap.Repository.Client.dll
2025-12-15 15:36:51.400786 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [357 us]
2025-12-15 15:36:51.461363 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.67 ms]
2025-12-15 15:36:51.765386 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.C83F5A61.17.xml [271 ms]
2025-12-15 15:36:51.780395 ; Package Query  ; Debug       ; Read 17 packages from [FilePackageRepository: file:///C:/Users/Rachel/AppData/Local/OpenTap/PackageCache] [304 ms]
2025-12-15 15:36:54.407341 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1856 packages. [2.61 s]
2025-12-15 15:36:55.248158 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight IO Libraries Suite","version":"beta","architecture":"x64","os":"Windows"} -> found 0 packages. [806 ms]
2025-12-15 15:36:55.258163 ; image          ; Debug       ; Resolved image: TUI:1, OpenTAP:9.28.2+504225fd, Keysight Fixed License Manager:^1.6.2+d58f8a89, Keysight IO Libraries Suite:^18.4.30319-beta.2.5+a2799c9d, PathWave License Manager:^7.4.1+efeba870 [842 ms]
2025-12-15 15:36:56.742455 ; OpenTAP        ; Information ; Target installation is already up to date.
