2025-08-27 15:40:41.511607 ; AssemblyData   ; Debug       ; Loaded OpenTap. [1.12 ms]
2025-08-27 15:40:41.536134 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-08-27 15:40:41.536134 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-08-27 15:40:41.537132 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2025-08-27 15:40:41.546128 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [8.32 ms]
2025-08-27 15:40:41.575497 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [14.6 ms]
2025-08-27 15:40:41.611109 ; AssemblyData   ; Debug       ; Loaded OpenTap.Tui. [9.57 ms]
2025-08-27 15:40:41.611109 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [10.9 ms]
2025-08-27 15:40:41.057828 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\tap 2025-08-27 15-40-40.txt'. [2.06 ms]
2025-08-27 15:40:41.150384 ; Session        ; Debug       ; Running '"C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\tap.exe" ' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug'.
2025-08-27 15:40:41.203978 ; AssemblyFinder ; Debug       ; Found 19/43 assembly files. [12.0 ms]
2025-08-27 15:40:41.221493 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-08-27 15:40:41.253967 ; Searcher       ; Warning     ; Multiple assemblies of different versions named tap exists 
2025-08-27 15:40:41.253967 ; Searcher       ; Debug       ; Assembly 1: C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\tap.dll version: 8
2025-08-27 15:40:41.253967 ; Searcher       ; Debug       ; Assembly 2: C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\tap.exe version: 9.28.2
2025-08-27 15:40:41.258050 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-08-27 15:40:41.392686 ; Searcher       ; Debug       ; Ordered 13 assemblies according to references. [152 ms]
2025-08-27 15:40:41.496602 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 186 plugin types. [260 ms]
2025-08-27 15:40:41.498604 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.dll
2025-08-27 15:40:41.498604 ; PluginManager  ; Debug       ; Found version 0.0.0            of KeysightGPT.dll
