2026-01-09 21:49:17.542856 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Release\SessionLogs\tap 2026-01-09 21-49-16.txt'. [3.55 ms]
2026-01-09 21:49:17.644134 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\\package.xml" --install' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Release'.
2026-01-09 21:49:17.750420 ; AssemblyFinder ; Debug       ; Found 24/56 assembly files. [47.4 ms]
2026-01-09 21:49:17.790424 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2026-01-09 21:49:18.643364 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2026-01-09 21:49:19.399449 ; Searcher       ; Debug       ; Ordered 13 assemblies according to references. [1.58 s]
2026-01-09 21:49:19.543386 ; PluginManager  ; Debug       ; Found 6 plugin assemblies containing 208 plugin types. [1.73 s]
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.dll
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Package.dll
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Found version 1.1.0            of Keysight.OpenTap.Licensing.dll
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Plugins.BasicSteps.dll
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Found version 9.17.5+6f353459  of Keysight.OpenTap.Wpf.dll
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Found version 0.0.0            of KeysightGPT.dll
2026-01-09 21:49:19.545386 ; PluginManager  ; Debug       ; Searched 24 Assemblies. [1.73 s]
2026-01-09 21:49:19.565392 ; AssemblyData   ; Debug       ; Loaded OpenTap. [972 us]
2026-01-09 21:49:19.588385 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [7.24 ms]
2026-01-09 21:49:19.622257 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2026-01-09 21:49:19.622257 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2026-01-09 21:49:19.622257 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2026-01-09 21:49:19.630237 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [7.52 ms]
2026-01-09 21:49:19.651285 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [17.7 ms]
2026-01-09 21:49:19.702573 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [8.30 ms]
